"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","DocumentUrl","DOI"
"Missouri attorney general, U.S. attorney announce partnership to target violent crime in St. Louis area","","Patrick, Robert","St. Louis Post - Dispatch","Newspapers","","","","2019-01-23","Jan 23, 2019","A.4","","","19309600","","","ENG","https://www.proquest.com/docview/2169665194?accountid=11226&bdid=72302&_bd=CkPn1LrCJhQ9WnVhrgUMjET8rNI%3D",""
"Reform Pruned California's Inmate Totals, but Critics Persist","","Arango, Tim","New York Times","Newspapers","","","","2019-01-22","Jan 22, 2019","A.10","","","","","","ENG","https://www.proquest.com/docview/2266168722?accountid=11226&bdid=72302&_bd=o2peiXOYxPZHE5jpR8VrDgMTwYA%3D",""
"Biden Should Be Proud of His Record on Crime","","Mangual, Rafael A","Wall Street Journal","Newspapers","","","","2019-04-25","Apr 25, 2019","A.17","","","00999660","","","ENG","https://www.proquest.com/docview/2213735296?accountid=11226&bdid=72302&_bd=9GXXiqEmWo46MzGwtVsLHH0HckI%3D",""
"In Germany, Summer Crimes Bolster a Wave of Anxiety","[Foreign Desk]","Eddy, Melissa","New York Times","Newspapers","","","","2019-08-19","Aug 19, 2019","A.10","","A.10","03624331","","","ENG","https://www.proquest.com/docview/2274933204?accountid=11226&bdid=72302&_bd=6c9q4QC18SbPGb0zoiDjtDwYrmY%3D",""
"Rapes, car thefts on the rise in these cities","FBI data shows Ariz. violent crime rate down overall","Burkitt, Bree","Arizona Republic","Newspapers","","","","2019-10-21","Oct 21, 2019","A.8","","","08928711","","","ENG","https://www.proquest.com/docview/2307073068?accountid=11226&bdid=72302&_bd=ZG7%2FZzPJLyOT9FNRM5xsWdYwdcw%3D",""
"Make a plan for safety in your surroundings","","","Arizona Republic","Newspapers","","","","2019-01-13","Jan 13, 2019","R.8","","","08928711","","","ENG","https://www.proquest.com/docview/2166483836?accountid=11226&bdid=72302&_bd=R%2F6IzXRECX%2FLaaTjrBljvafXhXE%3D",""
"Undocumented Population and Crime Rate","[National Desk]","Flagg, Anna","New York Times","Newspapers","","","","2019-05-15","May 15, 2019","A.13","","A.13","03624331","","","ENG","https://www.proquest.com/docview/2224825215?accountid=11226&bdid=72302&_bd=%2FDRxWiVQYAZsk7HbQbKiL%2Fwi5y8%3D",""
"Violent Crime Decreased in 2018, With 6% Drop in Murder Rate","[National Desk]","Williams, Timothy","New York Times","Newspapers","","","","2019-10-01","Oct 1, 2019","A.14","","A.14","03624331","","","ENG","https://www.proquest.com/docview/2299357514?accountid=11226&bdid=72302&_bd=cx2fJ1pLquFF%2FcuXpYqMVDttFJY%3D",""
"Editorial: Well-regulated aerial surveillance program could help solve violent crime.","","","St. Louis Post - Dispatch","Newspapers","","","","2019-11-11","Nov 11, 2019","A.8","","","19309600","","","ENG","https://www.proquest.com/docview/2313344669?accountid=11226&bdid=72302&_bd=FsD9C1zMJ11oZOsLtOtdb7j2kqo%3D",""
"The Police Are the Problem","","Purnell, Derecka; Stahly-Butts, Marbre","New York Times","Newspapers","","","","2019-09-30","Sep 30, 2019","A.23","","","","","","ENG","https://www.proquest.com/docview/2302100424?accountid=11226&bdid=72302&_bd=dYvIQsh2cvzqISbh%2BL0JPn1w3yQ%3D",""
"Years After Subway Crime Plummeted, Dread of a Creeping Return","[Metropolitan Desk]","Fitzsimmons, Emma G; Sandoval, Edgar","New York Times","Newspapers","","","","2019-02-05","Feb 5, 2019","A.21","","A.21","03624331","","","ENG","https://www.proquest.com/docview/2176117506?accountid=11226&bdid=72302&_bd=8JdVWU25ASg9vBRraTirBGued4g%3D",""
"French Police Cite an Increase in Number of Sex Crimes Reported","","Breeden, Aurelien","New York Times","Newspapers","","","","2019-02-02","Feb 2, 2019","A.5","","","","","","ENG","https://www.proquest.com/docview/2266170846?accountid=11226&bdid=72302&_bd=oCS4noJmJLtBXX0VtzYoTVzdIG0%3D",""
"High-Crime Era of Los Angeles Forged 2 Prosecutors, in Opposite Ways","[National Desk]","Arango, Tim","New York Times","Newspapers","","","","2019-10-04","Oct 4, 2019","A.16","","A.16","03624331","","","ENG","https://www.proquest.com/docview/2300505444?accountid=11226&bdid=72302&_bd=9oCMi%2FocaWCs3Xyyh5Kc6IvhpC4%3D",""
"Reform Pruned California's Inmate Totals, but Critics Persist","[National Desk]","Arango, Tim","New York Times","Newspapers","","","","2019-01-22","Jan 22, 2019","A.10","","A.10","03624331","","","ENG","https://www.proquest.com/docview/2169130634?accountid=11226&bdid=72302&_bd=7nXPiaOpJbSlU65vDzijNcKVIFY%3D",""
"Trump's Immigration Crackdown Blunts His Effort to Be Tough on Crime","[National Desk]","Kanno-Youngs, Zolan","New York Times","Newspapers","","","","2019-05-15","May 15, 2019","A.13","","A.13","03624331","","","ENG","https://www.proquest.com/docview/2224821385?accountid=11226&bdid=72302&_bd=37f3YfihHYKXA7Y%2FRUr8R88BviI%3D",""
"When Biden Was Tough on Crime","","Latzer, Barry","Wall Street Journal","Newspapers","","","","2019-08-06","Aug 6, 2019","A.17","","","00999660","","","ENG","https://www.proquest.com/docview/2268521056?accountid=11226&bdid=72302&_bd=BQEoRs0KSjM9Xouwhlmo7YZCN9c%3D",""
"Messenger: The governor comes to St. Louis to talk crime and leaves the black prosecutors behind","","Messenger, Tony","St. Louis Post - Dispatch","Newspapers","","","","2019-09-12","Sep 12, 2019","A.3","","","19309600","","","ENG","https://www.proquest.com/docview/2288657752?accountid=11226&bdid=72302&_bd=OyNocrlx%2BNa8AJzIts7AmAV0BVI%3D",""
"'Cure Violence' program shouldn't be only approach to curbing violent crime, mental health official says","","Schlinkmann, Mark","St. Louis Post - Dispatch","Newspapers","","","","2019-09-18","Sep 18, 2019","A.2","","","19309600","","","ENG","https://www.proquest.com/docview/2292112347?accountid=11226&bdid=72302&_bd=1VBMnoZ%2FXiN6KGPslJsTA6AN7RE%3D",""
"Making Schools Safer by Design","[Business/Financial Desk]","Prevost, Lisa","New York Times","Newspapers","","","","2019-10-23","Oct 23, 2019","B.8","","B.8","03624331","","","ENG","https://www.proquest.com/docview/2307587384?accountid=11226&bdid=72302&_bd=qmQgX69JFrzAIA%2Ff%2B%2FECUBl15%2Fw%3D",""
"Study: Crime, cannabis legalization not linked","Crime rates in Washington, Colorado compared with states with harsher laws","Bures, Brendan; Fresh Toast","Chicago Tribune","Newspapers","","","","2019-10-17","Oct 17, 2019","24","","","10856706","","","ENG","https://www.proquest.com/docview/2306059120?accountid=11226&bdid=72302&_bd=P8AwSUf8oly529TARBBn3dSNUlY%3D",""
"A Cafe Full of Survivors","","Karlamangla, Soumya","Los Angeles Times","Newspapers","","","","2019-04-20","Apr 20, 2019","A.1","","","","","","ENG","https://www.proquest.com/docview/2262916352?accountid=11226&bdid=72302&_bd=MJ0FxfI2%2FQfCXqH%2BHGq3A4wy4XA%3D",""
"PEACE CATALYST; Nipsey Hussle's death unified Crips and Bloods in grief. Now, gangs are brokering cease-fires to carry on his call.","","Nicole Santa Cruz; Chang, Cindy","Los Angeles Times","Newspapers","","","","2019-06-23","Jun 23, 2019","A.1","","A.1","04583035","","","ENG","https://www.proquest.com/docview/2244914462?accountid=11226&bdid=72302&_bd=rXHsVFzhr2OslivD8uh26l4yJfA%3D",""
"New deputy mayor of public safety appointed","","Pratt, Gregory","Chicago Tribune","Newspapers","","","","2019-06-25","Jun 25, 2019","6","","","10856706","","","ENG","https://www.proquest.com/docview/2246144157?accountid=11226&bdid=72302&_bd=qPKdNzR1hSXzQOaSS%2FsKTjA2W8Q%3D",""
"As Gang Murders Surge, Army Is Sent to Cape Town","[Foreign Desk]","De Greef, Kimon","New York Times","Newspapers","","","","2019-08-15","Aug 15, 2019","A.4","","A.4","03624331","","","ENG","https://www.proquest.com/docview/2273070868?accountid=11226&bdid=72302&_bd=Wp1wnHsMD3%2BRC33c2niF3qXSqK4%3D",""
"Cracking down on the criminal justice system; These prosecutors are getting tough on old hard-nosed policies. Critics say crime rates will increase again.","","Wilber, Del Quentin","Los Angeles Times","Newspapers","","","","2019-08-16","Aug 16, 2019","A.1","","A.1","04583035","","","ENG","https://www.proquest.com/docview/2273636345?accountid=11226&bdid=72302&_bd=VDNfimOhINVbPD0fesbC0U0zi5M%3D",""
"Outside the tent, a flash and a boom; String of violent arson attacks rattles L.A.'s homeless community","","Queally, James","Los Angeles Times","Newspapers","","","","2019-10-19","Oct 19, 2019","A.1","","A.1","04583035","","","ENG","https://www.proquest.com/docview/2306728866?accountid=11226&bdid=72302&_bd=vKNw5U18XdKjcGSL9KMOT0Vw8SE%3D",""
"Media need new ways of reporting on crime; Ava DuVernay's new series on the Central Park jogger case has lessons for journalists","","Bogert, Carroll","Los Angeles Times","Newspapers","","","","2019-06-02","Jun 2, 2019","A.14","","A.14","04583035","","","ENG","https://www.proquest.com/docview/2233233848?accountid=11226&bdid=72302&_bd=yph%2FFMJKNYnU3%2FFDYSvO6PWdP4g%3D",""
"Years After Subway Crime Plummeted, Dread of a Creeping Return","[Metropolitan Desk]","Fitzsimmons, Emma G; Sandoval, Edgar","New York Times","Newspapers","","","","2019-02-05","Feb 5, 2019","A.21","","A.21","03624331","","","ENG","https://www.proquest.com/docview/2175782534?accountid=11226&bdid=72302&_bd=GI5COvNXiGQN%2FJmJlrjEqVXmLrA%3D",""
"AT THE MOVIES: REVIEWS; 'THE STANDOFF AT SPARROW CREEK'; Spot the killer among them; Like a less bloody 'Reservoir Dogs,' a violent crime sets up a tense whodunit","","Chang, Justin","Los Angeles Times","Newspapers","","","","2019-01-18","Jan 18, 2019","E.6","","E.6","04583035","","","ENG","https://www.proquest.com/docview/2168043233?accountid=11226&bdid=72302&_bd=gRa4X7iYdaebi7oiuuy2X04QeZE%3D",""
"Let's Not Go Back to 'Normal' America","[Editorial]","Kingsbury, Alex","New York Times","Newspapers","","","","2019-03-02","Mar 2, 2019","A.18","","A.18","03624331","","","ENG","https://www.proquest.com/docview/2187092036?accountid=11226&bdid=72302&_bd=bMZDjIycts4iM0Rr0VI3UQqVz7s%3D",""
"Jersey City Cuts Down on Violent Crime --- Shea, brother of NYC's top cop, took on an overhaul of police and fire departments","","Chapman, Ben","Wall Street Journal","Newspapers","","","","2019-12-09","Dec 9, 2019","A.12A","","","00999660","","","ENG","https://www.proquest.com/docview/2322608768?accountid=11226&bdid=72302&_bd=ij1uWWmTCS%2B1NNiEYhwzWdF1bB4%3D",""
"Undocumented Population and Crime Rate","","Flagg, Anna","New York Times","Newspapers","","","","2019-05-15","May 15, 2019","A.13","","","","","","ENG","https://www.proquest.com/docview/2266170468?accountid=11226&bdid=72302&_bd=0gn3G6OD%2FaiP1anjVKGnO37xJeE%3D",""
"Man Charged With Murders As Violent Acts Unsettle Dallas","[National Desk]","Derrick Bryson Taylor","New York Times","Newspapers","","","","2019-06-13","Jun 13, 2019","A.16","","A.16","03624331","","","ENG","https://www.proquest.com/docview/2238884975?accountid=11226&bdid=72302&_bd=%2FRTTeWyyorzy1fVKrU1c0v0ba1g%3D",""
"Arms Race, Made in USA","","Linthicum, Kate","Los Angeles Times","Newspapers","","","","2019-10-06","Oct 6, 2019","A.1","","","","","","ENG","https://www.proquest.com/docview/2305317451?accountid=11226&bdid=72302&_bd=c%2F%2FAJXxqBJXOC6ZjMPu3MVEsZjc%3D",""
"To make St. Louis safer, hundreds of streets were closed. What if that was a mistake?","","Thorsen, Leah","St. Louis Post - Dispatch","Newspapers","","","","2019-02-24","Feb 24, 2019","A.1","","","19309600","","","ENG","https://www.proquest.com/docview/2185534325?accountid=11226&bdid=72302&_bd=QFQjsrZPLQO%2FG63KFH%2F7gcnPHiU%3D",""
"Mexico Leads World in Most Violent Cities","","Linthicum, Kate","Los Angeles Times","Newspapers","","","","2019-03-15","Mar 15, 2019","A.3","","","","","","ENG","https://www.proquest.com/docview/2262916303?accountid=11226&bdid=72302&_bd=mj84%2BvFutCmOQASd3M%2FcFWfp3BA%3D",""
"Wealth Management (A Special Report): Ask Encore --- Safety as a Factor In Where to Live: Also: We answer a reader's question on Social Security survivor benefits","","Ruffenach, Glenn","Wall Street Journal","Newspapers","","","","2019-06-17","Jun 17, 2019","R.4","","","00999660","","","ENG","https://www.proquest.com/docview/2243710637?accountid=11226&bdid=72302&_bd=V487UEhaeiZYu0FRNoipAP1kzes%3D",""
"Joint federal-state effort getting violent criminals off St. Louis streets, prosecutors say","","Patrick, Robert","St. Louis Post - Dispatch","Newspapers","","","","2019-10-09","Oct 9, 2019","A.5","","","19309600","","","ENG","https://www.proquest.com/docview/2302415716?accountid=11226&bdid=72302&_bd=S1v9yTRWadXB1nQF2kaoXPKgT4E%3D",""
"Look at violence 'like a disease' - program to cut crime being weighed by St. Louis","","Rice, Rachel","St. Louis Post - Dispatch","Newspapers","","","","2019-06-10","Jun 10, 2019","A.1","","","19309600","","","ENG","https://www.proquest.com/docview/2237526736?accountid=11226&bdid=72302&_bd=xnZWHCTXYZCDUuywnpMYPOrxkuw%3D",""
"Editorial: Crime fixes have eluded St. Louis politicians. Cure Violence is worth a try.","","","St. Louis Post - Dispatch","Newspapers","","","","2019-10-02","Oct 2, 2019","A.10","","","19309600","","","ENG","https://www.proquest.com/docview/2299760463?accountid=11226&bdid=72302&_bd=TpOc1KlmzPbfhDA2NzOUeCe7aIA%3D",""
"Mentor said he left gang, but he had not; Wilfredo Vides' work to help youth was all a front, prosecutors say. Now he's a suspect in crimes tied to MS-13.","","Ormseth, Matthew","Los Angeles Times","Newspapers","","","","2019-08-20","Aug 20, 2019","A.1","","A.1","04583035","","","ENG","https://www.proquest.com/docview/2275770169?accountid=11226&bdid=72302&_bd=wNKPFzpPQXhMWm7RoyUYV6Jp8xg%3D",""
"Not Everyone Carrying a Gun Is a Shooter","[Op-Ed]","Bazelon, Emily","New York Times","Newspapers","","","","2019-07-12","Jul 12, 2019","A.23","","A.23","03624331","","","ENG","https://www.proquest.com/docview/2256006170?accountid=11226&bdid=72302&_bd=wx7Brx19D3IX7ZOgojSDBgYYU%2Bo%3D",""
"ELECTION 2020; Haunted by state's history; California's criminal crackdowns of the past are costing Harris today","","Finnegan, Michael","Los Angeles Times","Newspapers","","","","2019-10-25","Oct 25, 2019","A.2","","A.2","04583035","","","ENG","https://www.proquest.com/docview/2308363692?accountid=11226&bdid=72302&_bd=e0YG%2BXKcxpjpoupGwwAR9I38Nzw%3D",""
"A TIMES INVESTIGATION; Elite LAPD unit pulls over black drivers more often, data show; 'Stop-and-frisk in a car': Some say racial disparities are too wide to be explained by other factors.","","Chang, Cindy; Poston, Ben","Los Angeles Times","Newspapers","","","","2019-01-27","Jan 27, 2019","A.1","","A.1","04583035","","","ENG","https://www.proquest.com/docview/2171298791?accountid=11226&bdid=72302&_bd=jUkNkxvP8%2B00gn4m7hgvC22VxWQ%3D",""
"The many ways Chicago police can solve more violent crimes [Corrected 11/01/2019]","","","Chicago Tribune","Newspapers","","","","2019-11-01","Nov 1, 2019","15","","","10856706","","","ENG","https://www.proquest.com/docview/2310927966?accountid=11226&bdid=72302&_bd=gv3tt20Ed8WgRCpSieekat2Jtfw%3D",""
"Presidential Trail Of Inaccurate Claims Finds Way to Britain","[Foreign Desk]","Qiu, Linda","New York Times","Newspapers","","","","2019-06-05","Jun 5, 2019","A.6","","A.6","03624331","","","ENG","https://www.proquest.com/docview/2234886560?accountid=11226&bdid=72302&_bd=v%2FvDi%2Bv8pmvixCN7hFsDebYy6cM%3D",""
"How Reporting Practices Can Skew Crime Statistics","[National Desk]","Asher, Jeff","New York Times","Newspapers","","","","2019-12-18","Dec 18, 2019","A.27","","A.27","03624331","","","ENG","https://www.proquest.com/docview/2327711842?accountid=11226&bdid=72302&_bd=DhcmSL8mxFaPju6b%2FDhlotHjkbg%3D",""
"Gorsuch Sides with Liberals on Gun Violence Case","","Savage, David G","Los Angeles Times","Newspapers","","","","2019-06-25","Jun 25, 2019","A.8","","","","","","ENG","https://www.proquest.com/docview/2262916256?accountid=11226&bdid=72302&_bd=t5SFWf0F9OBzLMZW9uzFW3%2Fa7MQ%3D",""
"CITY & STATE; Gang crimes jump in San Diego this year; The total for the first six months rose 20%, and the number of homicides doubled.","","Moran, Greg; Winkley, Lyndsay","Los Angeles Times","Newspapers","","","","2019-09-04","Sep 4, 2019","B.3","","B.3","04583035","","","ENG","https://www.proquest.com/docview/2283757207?accountid=11226&bdid=72302&_bd=HQkWbLKKtPfD8DzKVrx3EGCXYSo%3D",""
"#MeToo Has Finally Returned to Black Girls","[Op-Ed]","Tillet, Salamishah; Tillet, Scheherazade","New York Times","Newspapers","","","","2019-01-11","Jan 11, 2019","A.23","","","03624331","","","ENG","https://www.proquest.com/docview/2166009654?accountid=11226&bdid=72302&_bd=X7hXQx9XdIy5xurKVaNeo7Hb4uI%3D",""
"Reckoning With Violence","[Op-Ed]","Alexander, Michelle","New York Times","Newspapers","","","","2019-03-04","Mar 4, 2019","A.21","","A.21","03624331","","","ENG","https://www.proquest.com/docview/2187369291?accountid=11226&bdid=72302&_bd=Tz0jJXyvOh6BFu7N6XLQRvgq7nE%3D",""
"Police Crisis Tempers Buttigieg's National Ascent","[News; Series]","Trip Gabriel; Oppel, Richard A, Jr","New York Times","Newspapers","","","","2019-08-31","Aug 31, 2019","A.1","","A.1","03624331","","","ENG","https://www.proquest.com/docview/2282731885?accountid=11226&bdid=72302&_bd=4F4v5bfCK%2BbrujbnKNTQkVoN7S8%3D",""
"Violent crime growing deadlier in St. Louis, study says","","Rice, Rachel","St. Louis Post - Dispatch","Newspapers","","","","2019-07-01","Jul 1, 2019","A.1","","","19309600","","","ENG","https://www.proquest.com/docview/2249728395?accountid=11226&bdid=72302&_bd=Y09APjh1yrvfWLGZocKNgNclERw%3D",""
"Chicago's police need more detectives to stop violent crime","","Vallas, Paul","Chicago Tribune","Newspapers","","","","2019-11-06","Nov 6, 2019","16","","","10856706","","","ENG","https://www.proquest.com/docview/2312145873?accountid=11226&bdid=72302&_bd=C8yXAfbXXVBZIkB4pOB4Is%2Bu7eU%3D",""
"Crime and policing in a violent Chicago","Mayoral forum, Part 3","","Chicago Tribune","Newspapers","","","","2019-01-18","Jan 18, 2019","13","","","10856706","","","ENG","https://www.proquest.com/docview/2168091941?accountid=11226&bdid=72302&_bd=QrCoQo1QwszVrt2quVjZdBim0KQ%3D",""
"How Reporting Practices Can Skew Crime Statistics","","Asher, Jeff","New York Times","Newspapers","","","","2019-12-18","Dec 18, 2019","A.27","","","","","","ENG","https://www.proquest.com/docview/2352791756?accountid=11226&bdid=72302&_bd=G3DD7xulngf9Fsmgn3xLQSLCuKQ%3D",""
"Fear hampers the fight against violent crime, Alex Kotlowitz's new book shows","","Zorn, Eric","Chicago Tribune","Newspapers","","","","2019-05-12","May 12, 2019","24","","","10856706","","","ENG","https://www.proquest.com/docview/2223126644?accountid=11226&bdid=72302&_bd=ib5zbnNNtNZSOLmtrW7GM%2FCYgHY%3D",""
"Elite LAPD Unit Pulls Over Black Drivers More Often, Data Show","","Chang, Cindy; Poston, Ben","Los Angeles Times","Newspapers","","","","2019-01-27","Jan 27, 2019","A.1","","","","","","ENG","https://www.proquest.com/docview/2266156655?accountid=11226&bdid=72302&_bd=HiPIGD%2Bs7wfHNRh4kCckgUIgwYY%3D",""
"Recognize Anti-Semitism As an Epidemic","","Lowey, Nita; Harris, David","New York Times","Newspapers","","","","2019-12-31","Dec 31, 2019","A.19","","","","","","ENG","https://www.proquest.com/docview/2332233313?accountid=11226&bdid=72302&_bd=vWSzVju4N%2B3T6p%2B6Hhyk8wQMev4%3D",""
"Page forming St. Louis County 'crime commission' after violent summer","","Kohler, Jeremy","St. Louis Post - Dispatch","Newspapers","","","","2019-09-18","Sep 18, 2019","A.7","","","19309600","","","ENG","https://www.proquest.com/docview/2292112834?accountid=11226&bdid=72302&_bd=QndBymOVvKyUbW7QkCHPw5XLLF0%3D",""
"Fianc̩e describes photographer killed in Cherokee Street robbery. Police say violent crime unusual for the area.","","Heffernan, Erin; Rachel Rice of the Post-Dispatch","St. Louis Post - Dispatch","Newspapers","","","","2019-03-22","Mar 22, 2019","A.2","","","19309600","","","ENG","https://www.proquest.com/docview/2195232982?accountid=11226&bdid=72302&_bd=3wuaatn3qm8Vk0Iv87QxDVoxnLE%3D",""
"The Police Are the Problem","[Op-Ed]","Purnell, Derecka; Stahly-Butts, Marbre","New York Times","Newspapers","","","","2019-09-30","Sep 30, 2019","A.23","","A.23","03624331","","","ENG","https://www.proquest.com/docview/2299064591?accountid=11226&bdid=72302&_bd=e9QfUploA70HZwZdKYxznS4OoAE%3D",""
"This Democratic debate should challenge candidates on health, equity and safety for women and girls","","Davis, Felicia","Chicago Tribune","Newspapers","","","","2019-11-20","Nov 20, 2019","20","","","10856706","","","ENG","https://www.proquest.com/docview/2315891633?accountid=11226&bdid=72302&_bd=u6nH6nx4EUDK5G0CLzgQsQAkw1E%3D",""
